There is no way to send audio out of this tv to a soundbar or AV receiver.,Enhancement
Remote buttons could have been bigger.,Enhancement
Better viewing angles would be nice.,Enhancement
"{'status': 'ERROR', 'totalTransactions': '2', 'language': 'english', 'text': 'Setup experience needs to be improved.', 'statusInfo': 'cannot-analyze:downstream-issue', 'usage': 'By accessing AlchemyAPI or using information generated by AlchemyAPI, you are agreeing to be bound by the AlchemyAPI Terms of Use: http://www.alchemyapi.com/company/terms.html'}",Enhancement
Needs more audio output ports.,Enhancement
A better way needs to exist for mounting this on the wall.,Enhancement
Why does this TV not come with WiFi?,Enhancement
A <Descriptor> <Product> would have been better,Enhancement
The setup instructions could have been clearer and less confusing.,Enhancement
The <Product> should be <Descriptor> than it currently is so that it is easier to mount,Enhancement
It should learn my favorite channels over time.,Enhancement
<Descriptor> <Product> but would really benefit from a sturdier base.,Enhancement
If this TV had more apps I'd pay so much more for it.,Enhancement
I wish it had actual buttons on the screen to control it.,Enhancement
The <Feature> should be made <Descriptor> since <Product>'s too easily lost right now.,Enhancement
Remote design needs to be more intuitive,Enhancement
More <Feature> options would be <Descriptor>.,Enhancement
A thinner bezel would make this the complete package.,Enhancement
I wish they offered this in 4K resolution.,Enhancement
Adding bluetooth connectivity would be amazing!,Enhancement
Being able to control this from my phone would be a great feature.,Enhancement
A <Descriptor> <Feature> would be nice.,Enhancement
A better way to change display settings that is faster and more intuitive would be a huge bonus.,Enhancement
<Feature> for gaming vs. movies vs. everyday <Product> would be a nice addition,Enhancement
Customer service being done by a person instead of a robot would have made the experience 100 times better.,Enhancement
I wish I could watch Netflix in PIP,Enhancement
I wish I had the ability to stream my own content from my PC without wires.,Enhancement
More connectivity options are needed.,Enhancement
Adding a harddrive into the <Product> would be a <Descriptor> <Feature>.,Enhancement
"this needs to be designed better, it is just too ugly right now.",Enhancement
Instructions for use should be clearer.,Enhancement
A higher refresh rate would put this TV in a much more premium category.,Enhancement
They need to reduce motion blur in the next model they release,Enhancement
Thinner bezels please!,Enhancement
Please <Feature> and <Descriptor>!,Enhancement
Reducing lag would be my number one concern when releasing the new model,Enhancement
Adding speakers that actually sound good would make this the ultimate purchase,Enhancement
I would really like to see more focus on the build quality.,Enhancement
The settings menu's really should be cleaned up and simplified,Enhancement
Voice <Feature> would be a <Descriptor> addition!,Enhancement
Adding a camera for Skype would be really cool.,Enhancement
A more polished OS would make this perfect.,Enhancement
"The <Feature> is <Descriptor> and feels somewhat ""cheap.""",Feature
Something that sounds small but will drive you nuts is the remote.,Feature
don't like the start up lag time.,Feature
native set sound quality isn't very good,Feature
terrible Android TV experience,Feature
Clearly their software is buggy and somehow messes up the Audio out.,Feature
 Sharp only lets you access the internet sites they picked - NO WEB BROWSING You can not access Amazon Prime,Feature
Buggy and troubled setup,Feature
The <Product> has really <Feature> sound to begin with and you have to adjust it when switching from tv to other devices.,Feature
"{'status': 'ERROR', 'totalTransactions': '2', 'language': 'unknown', 'text': 'volume control sucks', 'statusInfo': 'unsupported-text-language', 'usage': 'By accessing AlchemyAPI or using information generated by AlchemyAPI, you are agreeing to be bound by the AlchemyAPI Terms of Use: http://www.alchemyapi.com/company/terms.html'}",Feature
 The <Feature> consists of two <Descriptor> <Feature> that are very likely to break off,Feature
the color on this model and the ability to adjust it leaves much to be desired.,Feature
"The built in Wi-Fi was poor,",Feature
<Descriptor> <Feature>,Feature
Poorly made. WiFi card is not grounded/will not connect to your wireless and there is no ethernet port to bypass this issue. ,Feature
We are lucky to get connected to our wifi at all on these and then the signal is perpetually dropped. ,Feature
"Over all <Product> seems <Feature>, but the <Feature> is not qu<Product>e up to par and you will notice some artifacts on live sports and news broadcast",Feature
The <Feature> that comes with <Product> is <Descriptor> <Feature> I've ever owned.,Feature
Unfortunately there is noticeable input lag.,Feature
EXTREMELY slow and takes FOREVER to boot up after being turned on.,Feature
Very Poor Remote...takes a very long time to go between channels.,Feature
Terrible glare from light behind or from side.,Feature
Buggy smart software that crashes and reboots irregularly.,Feature
The most remarkable quality I've found with the television is its <Descriptor> <Feature>.,Feature
Set up is pretty much self explanatory and you have a minimal amount of selections to make and the TV does the rest to set itself up.,Feature
"<Consumer> am impressed with the resolution and clarity, since <Product> is a brand I haven't heard of. Visually very impressive, good clean resolution.",Feature
"The <Feature> is <Descriptor> as <Descriptor> to <Descriptor>, with a <Feature> with a clean simple layout.",Feature
