There is no way to send audio out of this <Product> to a soundbar or AV receiver.,Enhancement
<Feature> could have been bigger.,Enhancement
Better viewing angles would be nice.,Enhancement
<Feature> experience needs to be improved.,Enhancement
Needs more <Feature>.,Enhancement
A better way needs to exist for mounting this on the wall.,Enhancement
Why does this <Product> not come with WiFi?,Enhancement
A larger <Feature> would have been better,Enhancement
The <Feature> could have been clearer and less confusing.,Enhancement
The <Product> should be lighter than it currently is so that it is easier to mount,Enhancement
<Product> should learn my favorite channels over time.,Enhancement
Great <Product> but would really benefit from a sturdier base.,Enhancement
If this <Product> had more apps <Consumer>'d pay so much more for it.,Enhancement
<Consumer> wish it had actual buttons on the <Feature> to control it.,Enhancement
The <Feature> should be made bigger since <Feature>'s too easily lost right now.,Enhancement
Remote design needs to be more intuitive,Enhancement
More color options would be great.,Enhancement
A thinner bezel would make this the complete package.,Enhancement
<Consumer> wish <Product> offered this in 4K resolution.,Enhancement
Adding bluetooth connectivity would be amazing!,Enhancement
Being able to control this from my <Product> would be a great <Feature>.,Enhancement
A <Feature> would be nice.,Enhancement
A better way to change display <Feature> that is faster and more intuitive would be a huge bonus.,Enhancement
Different <Feature> for <Feature> <Product> would be a nice addition,Enhancement
<Customer_Service> being done by a person instead of a robot would have made the experience <Feature> better.,Enhancement
<Consumer> wish <Consumer> could <Feature> in PIP,Enhancement
<Consumer> wish <Consumer> had the ability to stream my own content from my PC without wires.,Enhancement
More <Feature> are needed.,Enhancement
Adding a harddrive into the <Product> would be a good touch.,Enhancement
"this needs to be designed better, it is just too ugly right now.",Enhancement
<Feature> for use should be clearer.,Enhancement
A higher refresh rate would put this <Product> in a much more premium category.,Enhancement
<Product> need to reduce motion blur in the next model they release,Enhancement
Thinner bezels please!,Enhancement
Please add an internet browser and keyboard support!,Enhancement
Reducing lag would be my number one concern when releasing the new <Product>,Enhancement
Adding speakers that actually <Feature> good would make this the ultimate purchase,Enhancement
<Consumer> would really like to see more focus on the <Feature>.,Enhancement
The <Feature>'s really should be cleaned up and simplified,Enhancement
Voice controls would be a welcome addition!,Enhancement
Adding a <Product> for <Feature> would be really cool.,Enhancement
A more polished OS would make this perfect.,Enhancement
"The <Feature> is pretty lightweight and feels somewhat ""cheap.""",Feature
Something that <Feature> small but will drive you nuts is the <Feature>.,Feature
don't like the start up lag time.,Feature
native set <Feature> isn't very good,Feature
terrible Android <Product> experience,Feature
Clearly their software is buggy and somehow messes up the Audio out.,Feature
 Sharp only lets you access the internet sites they picked - NO WEB BROWSING You can not access <Company> Prime,Feature
Buggy and troubled setup,Feature
The <Product> has really weak <Feature> to begin with and you have to adjust it when switching from <Product> to other <Product>.,Feature
volume control sucks,Feature
 The <Feature> of <Feature> that are very likely to break off,Feature
the color on this model and the <Feature> to adjust it leaves much to be desired.,Feature
"The <Feature> in <Feature> was poor,",Feature
<Feature>,Feature
Poorly made. WiFi card is not grounded/will not <Feature> and there is no ethernet port to bypass this issue. ,Feature
We are lucky to get connected to our wifi at all on <Product> and then the signal is perpetually dropped. ,Feature
"Over all it seems nice, but the <Feature> is not quite up to par and you will notice some artifacts on live sports and news broadcast",Feature
The <Feature> that comes with <Product> is the <Feature> <Consumer>'ve ever owned.,Feature
Unfortunately there is <Feature>.,Feature
EXTREMELY slow and takes FOREVER to boot up after being turned on.,Feature
Very Poor Remote...takes a very long time to go between channels.,Feature
Terrible glare from light behind or from side.,Feature
Buggy smart software that crashes and reboots irregularly.,Feature
The most remarkable quality <Consumer>'ve found with the television is <Product> theater-like picture.,Feature
Set up is pretty much self explanatory and you have a minimal amount of selections to make and the <Product> does the rest to set itself up.,Feature
"<Consumer> am impressed with the resolution and clarity, since this is a brand <Consumer> haven't heard of. Visually very impressive, good <Feature>.",Feature
"The <Feature> on the <Product> is easy as pie to navigate, with a nice sized remote with a clean simple layout.",Feature
" For <Consumer>, <Product> shows a decent enough <Feature> for what <Consumer> watch.",Feature
"<Product> is awesome its easy to assemble and has very good audio,",Feature
"Low glare, excellent <Feature>. We use this in a dorm lobby and <Feature> is great! Definitely a good <Product> for <Price>; especially in a place where we have to replace <Product>'s regularly due to vandalism!",Feature
"The <Feature> is thin, and sexy. The set itself not thick depth-wise, but not too thin either. It weighs about 55 pounds and is easy to move around. ",Feature
"The <Product> is very good-looking, nice thin bezel, easy to assemble, and very light. ",Feature
Awesome <Product>! Great picture. Awesome veiwing angle. <Product> is huge!,Feature
"Very crisp picture, even better with a <Company> Bluray player. <Consumer> have always liked Vizio, simply because of their customer support.",Feature
You can up-scale any video to have simulated 3D.,Feature
The <Feature> is beyond compare. It is essentially the same as Real 3D in the <Feature> (in fact Real 3D glasses work with it). ,Feature
Fastest ON <Product> <Consumer>'ve seen in a long time,Feature
Every time <Consumer> watch a program or a movie <Consumer> experience the beauty of this HD screen. <Product>'s almost as if you have been sucked in by the <Product> and seeing everything in real life!,Feature
<Company> has the blackest blacks and the <Feature> and the <Feature> are true and vivid. ,Feature
"the best, reliable, great <Feature>, well built, all the <Feature>",Feature
Very fast apps and processor. ,Feature
The <Product> is easy to set up and use. The <Feature> right out of the box was quite good and <Consumer> was able to enhance it by using the lab <Feature> that Consumerreports.org has for this <Product> on its website. ,Feature
"Very light weight so easy to hang, sharp <Feature>, and pretty good <Feature> coming from stereo <Product> mounted in the bottom of the <Product> facing down. ",Feature
"his <Product> has been wonderful for <Consumer>. The <Feature> is above average, the <Feature> we're easy to configure,",Feature
" It prompted <Consumer> very intuitively. One thing <Consumer> discovered a bit later is that under the center front of the <Product> itself, there is a <Product>",Feature
Has a true native <Feature> in a small 22 inch LED monitor. Smallest <Feature> with native <Product> for tight areas.,Feature
"Thin, light, easy to set up, navigation through menu is simple. Bright and colorful ",Feature
"<Consumer> was hesitant because <Consumer> had read the reviews and they were not great. <Consumer> received my <Product> yesterday, and it has been great.",Feature
The feet of the <Feature> are fairly wide though <Product> fit perfectly on a stand we had used previously for a 60 in DLP <Product>.,Feature
"My <Product> has a perfect refresh rate and a nice bright LED back-lit picture.. <Feature>, a component input and a regular good old fashioned AV (Red/White/Yellow)input make this unit very versatile.",Feature
"Size is great, and the <Feature> is very thin",Feature
Still and slow moving moments look great,Feature
"<Feature> are surprisingly high for an entry level set, if you have a calibration dvd you are all set.",Feature
 had high hopes for this <Product> after reading the reviews but 5 minutes out of the box <Consumer> got the <Feature> and attempted to turn <Product> on to find the <Feature> work with the shrink wrapped batteries <Product> came with.,Issue
