"<Consumer> got my new <Product> last Tuesday after I accidentaly <Descriptor>, <Feature>.",Sentiment,
"Anyway, <Company>'s <Descriptor> <Feature> are <Descriptor> <Feature>.",Feature,
The <Company> includes the One Connect Mini as oppose to the <Feature> which include the One Connect Box with <Descriptor> and future proof of the hardware.,Feature,Comparison
"Also this set has a LED Edge-Lit backlight display as his <Descriptor> <Feature>, only",Feature,Comparison
the <Product> has a Full Arrange Local Dimming capabilities that will have superior HDR performance.,Feature,
"And last but not least is the obvious, is not <Feature> but <Company> was extremely wise to keep the flat version only to the US market, but all of the other great features from the <Feature> are <Descriptor>.",Feature,
Once you properly calibrate your set be ready to be amazed.,Sentiment,
"<Consumer> watched The <Feature>, Pacific Rim and Transformers 4: Age of <Company>, three of my favorite Reference movies on Blu Ray.",Sentiment,
The <Feature> <Product> is easy to navigate and use.,Feature,
<Consumer> considered both the <Product> but I'm not a fan of curved <Product>'s.,Feature,Comparison
<Consumer> did way to many hours of research leaning towards discounted 2014 models as I'm basically done paying extra for being an early adopter of <Feature>.,Sentiment,
In the end <Consumer> just couldn't pull the trigger on settling for what my eyes perceived to be an inferior picture to the <Product>.,Feature,Comparison
<Consumer> needed a <Product> now and am willing to watch the <Price> in the coming year.,Sentiment,
If your considering this <Product> my recommendation is go for it!,Sentiment,
<Consumer>'ll update this review after I get more time using this <Product>.,Other,
<Consumer>'ve attached a photo of a youtube 4k video taken with my <Company> <Product>.,Other,
<Consumer> purchased this <Product> about 2 weeks ago and I can't say enough good things about it.,Sentiment,
The <Feature> is so clear that it makes you wonder how you lived with <Feature>.,Feature,
But <Consumer> will warn you it takes some time of working through all of <Product> features before you get this picture.,Sentiment,
If you have a <Product> or PS4 you will see a drastic difference as well.,Sentiment,
<Consumer> play Destiny on <Product> and it looks <Descriptor>.,Sentiment,
One thing you will have to do with FPS or action games is <Product> over to game mode every time.,Sentiment,
Without this <Product> you will notice a <Descriptor> that will make for a not so pleasant gaming experience.,Enhancement,
Once you <Product> over to game mode though it <Descriptor>.,Feature,
